"transactionId","sku","name","units","value","subcategory","category"
"ACT12_M_29585","fluazuron","fluazuron",5.87,1584.81,"Acetaminophen","soda"
"ACT12_M_29679","flubenzimine","flubenzimine",2.76,1291.46,"AceticAcid","acid"
"ACT12_M_30349","flucycloxuron","flucycloxuron",2.86,1770.39,"Ehtanol","H2"
"ACT12_M_30370","flufenoxuron","flufenoxuron",2.16,612.28,"CarbonDioxide","carbon"
"ACT12_M_30372","hexythiazox","hexythiazox",4.24,226.65,"CalciumCarbonate","calcium"
"ACT12_M_30374","organochlorine acaricides","organochlorine acaricides",5.88,1752.58,"SodiumChloride","calcium"
"ACT12_M_30382","bromocyclen","bromocyclen",8.32,1671.04,"Methane","carbon"
"ACT12_M_30389","camphechlor","camphechlor",5.54,535.15,"Aspirin","carbon"
"ACT12_M_30391","DDT","DDT",6.58,210.59,"PotassiumTartrate","carbon"
"ACT12_M_30392","dienochlor","dienochlor",5.85,1081.89,"Bakingsoda","soda"
"ACT12_M_30395","endosulfan","endosulfan",1.23,1300.41,"Acetaminophen","soda"
"ACT12_M_30397","lindane","lindane",8.89,2123.71,"AceticAcid","acid"
"ACT12_M_30398","organophosphorus acaricides","organophosphorus acaricides",2.64,1835.41,"Ehtanol","H2"
"ACT12_M_30490","organophosphate acaricides","organophosphate acaricides",3.22,2026,"CarbonDioxide","carbon"
"ACT12_M_30493","chlorfenvinphos","chlorfenvinphos",3.16,1447.32,"CalciumCarbonate","calcium"
"ACT12_M_30599","crotoxyphos","crotoxyphos",9.89,620.19,"SodiumChloride","calcium"
"ACT12_M_30601","dichlorvos","dichlorvos",9.47,240.34,"Methane","carbon"
"ACT12_M_30608","heptenophos","heptenophos",9.19,1523.56,"Aspirin","carbon"
"ACT12_M_30615","mevinphos","mevinphos",7.47,1048.66,"PotassiumTartrate","carbon"
"ACT12_M_30617","monocrotophos","monocrotophos",7.13,919.87,"Bakingsoda","soda"
"ACT12_M_30618","naled","naled",7.31,210.68,"Acetaminophen","soda"
"ACT12_M_30620","TEPP","TEPP",9.03,694.64,"AceticAcid","acid"
"ACT12_M_30642","tetrachlorvinphos","tetrachlorvinphos",6.78,939.55,"Ehtanol","H2"
"ACT12_M_30646","organothiophosphate acaricides","organothiophosphate acaricides",7.65,2004.44,"CarbonDioxide","carbon"
"ACT12_M_30647","amidithion","amidithion",6.61,1654.5,"CalciumCarbonate","calcium"
"ACT12_M_31221","amiton","amiton",7.71,282.03,"SodiumChloride","calcium"
"ACT12_M_31322","azinphos-ethyl","azinphos-ethyl",6.6,1838.92,"Methane","carbon"
"ACT12_M_31326","azinphos-methyl","azinphos-methyl",2.24,640.98,"Aspirin","carbon"
"ACT12_M_31393","azothoate","azothoate",4.69,539.22,"PotassiumTartrate","carbon"
"ACT12_M_31565","benoxafos","benoxafos",9.48,1660.39,"Bakingsoda","soda"
"ACT12_M_31690","bromophos","bromophos",4.63,1539.48,"Acetaminophen","soda"
"ACT12_M_32388","bromophos-ethyl","bromophos-ethyl",6.51,2123.79,"AceticAcid","acid"
"ACT12_M_32402","carbophenothion","carbophenothion",3.42,343.13,"Ehtanol","H2"
"ACT12_M_32811","chlorpyrifos","chlorpyrifos",6.33,1800.73,"CarbonDioxide","carbon"
"ACT12_M_32816","chlorthiophos","chlorthiophos",8.21,288.8,"CalciumCarbonate","calcium"
"ACT12_M_33033","coumaphos","coumaphos",9.13,1366.41,"SodiumChloride","calcium"
"ACT12_M_34446","cyanthoate","cyanthoate",4.62,1060.3,"Methane","carbon"
"ACT12_M_34497","demeton","demeton",6.45,2054.99,"Aspirin","carbon"
"ACT12_M_34514","demeton-O","demeton-O",3.79,1666.42,"PotassiumTartrate","carbon"
"ACT12_M_35186","demeton-S","demeton-S",5.41,1359.1,"Bakingsoda","soda"
"ACT12_M_35697","demeton-methyl","demeton-methyl",7.98,1159.38,"Acetaminophen","soda"
"ACT12_M_36205","demeton-O-methyl","demeton-O-methyl",8.35,184.56,"AceticAcid","acid"
"ACT12_M_36302","demeton-S-methyl","demeton-S-methyl",9.01,2049.96,"Ehtanol","H2"
"ACT12_M_36486","demeton-S-methylsulphon","demeton-S-methylsulphon",6.99,1875.69,"CarbonDioxide","carbon"
"ACT12_M_36686","dialifos","dialifos",9.62,1165.52,"CalciumCarbonate","calcium"
"ACT12_M_36687","diazinon","diazinon",5.83,99.76,"SodiumChloride","calcium"
"ACT12_M_36742","dimethoate","dimethoate",1.91,1893.01,"Methane","carbon"
"ACT12_M_36820","dioxathion","dioxathion",2.37,1429.9,"Aspirin","carbon"
"ACT12_M_36934","disulfoton","disulfoton",7.18,68.6,"PotassiumTartrate","carbon"
"ACT12_M_37320","endothion","endothion",4.63,1372.09,"Bakingsoda","soda"
"ACT12_M_37415","ethion","ethion",2.51,943.05,"Acetaminophen","soda"
"ACT12_M_37975","ethoate-methyl","ethoate-methyl",8.77,1344.83,"AceticAcid","acid"
"ACT12_M_38127","formothion","formothion",9.94,1745.51,"Ehtanol","H2"
"ACT12_M_38231","malathion","malathion",3.64,611.41,"CarbonDioxide","carbon"
"ACT12_M_38241","mecarbam","mecarbam",8.3,856.97,"CalciumCarbonate","calcium"
"ACT12_M_38242","methacrifos","methacrifos",6.61,1007.42,"SodiumChloride","calcium"
"ACT12_M_38382","omethoate","omethoate",4.98,120.38,"Methane","carbon"
"ACT12_M_38428","oxydeprofos","oxydeprofos",2.38,880.57,"Aspirin","carbon"
"ACT12_M_38430","oxydisulfoton","oxydisulfoton",1.67,820.9,"PotassiumTartrate","carbon"
"ACT12_M_38431","parathion","parathion",8.66,524.02,"Bakingsoda","soda"
"ACT12_M_38432","phenkapton","phenkapton",1.62,547.71,"Acetaminophen","soda"
"ACT12_M_38435","phorate","phorate",9.16,1842.99,"AceticAcid","acid"
"ACT12_M_38446","phosalone","phosalone",9.58,613.4,"Ehtanol","H2"
"ACT12_M_38582","phosmet","phosmet",1.95,160.9,"CarbonDioxide","carbon"
"ACT12_M_38634","phostin","phostin",5.08,365.71,"CalciumCarbonate","calcium"
"ACT12_M_38687","phoxim","phoxim",5.37,923.12,"SodiumChloride","calcium"
"ACT12_M_39537","pirimiphos-methyl","pirimiphos-methyl",2.92,894.19,"Methane","carbon"
"ACT12_M_39552","prothidathion","prothidathion",6.67,688.12,"Aspirin","carbon"
"ACT12_M_39568","prothoate","prothoate",9.77,724.45,"PotassiumTartrate","carbon"
"ACT12_M_39569","pyrimitate","pyrimitate",7.66,1622.6,"Bakingsoda","soda"
"ACT12_M_39570","quinalphos","quinalphos",5.24,455.7,"Acetaminophen","soda"
"ACT12_M_39571","quintiofos","quintiofos",5.87,1754.19,"AceticAcid","acid"
"ACT12_M_39572","sophamide","sophamide",9.14,427.02,"Ehtanol","H2"
"ACT12_M_39574","sulfotep","sulfotep",8.66,1958.68,"CarbonDioxide","carbon"
"ACT12_M_39575","thiometon","thiometon",8.83,1172.4,"CalciumCarbonate","calcium"
"ACT12_M_39578","triazophos","triazophos",4.92,69.1,"SodiumChloride","calcium"
"ACT12_M_39579","trifenofos","trifenofos",6.84,566.25,"Methane","carbon"
"ACT12_M_39582","vamidothion","vamidothion",1.21,157.28,"Aspirin","carbon"
"ACT12_M_39585","phosphonate acaricides","phosphonate acaricides",4.97,1879.24,"PotassiumTartrate","carbon"
"ACT12_M_39695","trichlorfon","trichlorfon",8.97,851.56,"Bakingsoda","soda"
"ACT12_M_39696","phosphoramidothioate acaricides","phosphoramidothioate acaricides",8.79,590.44,"Acetaminophen","soda"
"ACT12_M_39703","isocarbophos","isocarbophos",1.72,827.6,"AceticAcid","acid"
"ACT12_M_39705","methamidophos","methamidophos",8.01,500.69,"Ehtanol","H2"
"ACT12_M_39711","propetamphos","propetamphos",2.64,493.43,"CarbonDioxide","carbon"
"ACT12_M_39854","phosphorodiamide acaricides","phosphorodiamide acaricides",7.09,1434.54,"CalciumCarbonate","calcium"
"ACT12_M_39916","dimefox","dimefox",6.79,1042,"SodiumChloride","calcium"
"ACT12_M_40448","mipafox","mipafox",9.51,1166,"Methane","carbon"
"ACT12_M_40611","schradan","schradan",1.73,916.89,"Aspirin","carbon"
"ACT12_M_40628","organotin acaricides","organotin acaricides",6.15,721.49,"PotassiumTartrate","carbon"
"ACT12_M_41288","azocyclotin","azocyclotin",7.49,1576.95,"Bakingsoda","soda"
"ACT12_M_41559","cyhexatin","cyhexatin",4.81,2056.66,"Acetaminophen","soda"
"ACT12_M_41785","fenbutatin oxide","fenbutatin oxide",6.14,1054.35,"AceticAcid","acid"
"ACT12_M_41789","phostin","phostin",8.38,1827.57,"Ehtanol","H2"
"ACT12_M_41790","phenylsulfamide acaricides","phenylsulfamide acaricides",1.63,898.4,"CarbonDioxide","carbon"
"ACT12_M_41837","dichlofluanid","dichlofluanid",1.68,1082.83,"CalciumCarbonate","calcium"
"ACT12_M_42044","phthalimide acaricides","phthalimide acaricides",2.99,12.44,"SodiumChloride","calcium"
"ACT12_M_42102","dialifos","dialifos",1.54,437.04,"Methane","carbon"
"ACT12_M_42222","phosmet","phosmet",2.25,1899.77,"Aspirin","carbon"
"ACT12_M_42255","pyrazole acaricides","pyrazole acaricides",9.8,167.04,"PotassiumTartrate","carbon"
"ACT12_M_42501","cyenopyrafen","cyenopyrafen",6.52,87.21,"Bakingsoda","soda"
"ACT12_M_42699","cyetpyrafen","cyetpyrafen",8.61,1659.37,"Acetaminophen","soda"
"ACT12_M_42705","fenpyroximate","fenpyroximate",4.92,1679.04,"AceticAcid","acid"
"ACT12_M_42783","phenylpyrazole acaricides","phenylpyrazole acaricides",4.82,1686.35,"Ehtanol","H2"
"ACT12_M_42926","acetoprole","acetoprole",1.24,1198.53,"CarbonDioxide","carbon"
"ACT12_M_42979","fipronil","fipronil",6.69,1577.1,"CalciumCarbonate","calcium"
"ACT12_M_43011","vaniliprole","vaniliprole",2.26,1779.85,"SodiumChloride","calcium"
"ACT12_M_43044","pyrazolecarboxamide acaricides","pyrazolecarboxamide acaricides",7.05,1495.57,"Methane","carbon"
"ACT12_M_43046","pyflubumide","pyflubumide",7.32,1661.38,"Aspirin","carbon"
"ACT12_M_43297","tebufenpyrad","tebufenpyrad",5.83,382.04,"PotassiumTartrate","carbon"
"ACT12_M_43298","pyrethroid acaricides","pyrethroid acaricides",8.34,313.78,"Bakingsoda","soda"
"ACT12_M_43551","pyrethroid ester acaricides","pyrethroid ester acaricides",5.94,1538.52,"Acetaminophen","soda"
"ACT12_M_43603","acrinathrin","acrinathrin",8.38,2045.62,"AceticAcid","acid"
"ACT12_M_43608","bifenthrin","bifenthrin",9.99,1110.23,"Ehtanol","H2"
"ACT12_M_43697","brofluthrinate","brofluthrinate",6,1110.66,"CarbonDioxide","carbon"
"ACT12_M_43756","cyhalothrin","cyhalothrin",3.61,709.15,"CalciumCarbonate","calcium"
"ACT12_M_43780","cypermethrin","cypermethrin",8.64,1056.11,"SodiumChloride","calcium"
"ACT12_M_43992","alpha-cypermethrin","alpha-cypermethrin",2.22,1277.21,"Methane","carbon"
"ACT12_M_43993","fenpropathrin","fenpropathrin",6.58,1758.61,"Aspirin","carbon"
"ACT12_M_44099","fenvalerate","fenvalerate",9.98,1615.04,"PotassiumTartrate","carbon"
"ACT12_M_44130","flucythrinate","flucythrinate",5.02,1637.34,"Bakingsoda","soda"
"ACT12_M_44205","flumethrin","flumethrin",3.69,525.84,"Acetaminophen","soda"
"ACT12_M_44900","fluvalinate","fluvalinate",1.18,148.34,"AceticAcid","acid"
"ACT12_M_44904","tau-fluvalinate","tau-fluvalinate",6.51,170.71,"Ehtanol","H2"
"ACT12_M_44906","permethrin","permethrin",4.51,1705.87,"CarbonDioxide","carbon"
"ACT12_M_45001","pyrethroid ether acaricides","pyrethroid ether acaricides",2.94,737.26,"CalciumCarbonate","calcium"
"ACT12_M_45146","halfenprox","halfenprox",4.92,2027.44,"SodiumChloride","calcium"
"ACT12_M_45379","pyrimidinamine acaricides","pyrimidinamine acaricides",8.53,748.01,"Methane","carbon"
"ACT12_M_46239","pyrimidifen","pyrimidifen",5.91,372.54,"Aspirin","carbon"
"ACT12_M_46678","pyrrole acaricides","pyrrole acaricides",7.98,2094.66,"PotassiumTartrate","carbon"
"ACT12_M_47163","chlorfenapyr","chlorfenapyr",8.66,1525.31,"Bakingsoda","soda"
"ACT12_M_47454","quaternary ammonium acaricides","quaternary ammonium acaricides",1.48,1898.44,"Acetaminophen","soda"
"ACT12_M_47457","sanguinarine","sanguinarine",5.09,556.46,"AceticAcid","acid"
"ACT12_M_47626","quinoxaline acaricides","quinoxaline acaricides",1.24,354.72,"Ehtanol","H2"
"ACT12_M_47780","chinomethionat","chinomethionat",1.24,2121.44,"CarbonDioxide","carbon"
"ACT12_M_47788","thioquinox","thioquinox",3.04,2079.68,"CalciumCarbonate","calcium"
"ACT12_M_47912","strobilurin acaricides","strobilurin acaricides",5.37,1101.02,"SodiumChloride","calcium"
"ACT12_M_48439","methoxyacrylate strobilurin acaricides","methoxyacrylate strobilurin acaricides",9.08,537.92,"Methane","carbon"
"ACT12_M_48509","bifujunzhi","bifujunzhi",4.42,816.55,"Aspirin","carbon"
"ACT12_M_48510","fluacrypyrim","fluacrypyrim",4.14,1475.71,"PotassiumTartrate","carbon"
"ACT12_M_48703","flufenoxystrobin","flufenoxystrobin",3.21,773.69,"Bakingsoda","soda"
"ACT12_M_48791","pyriminostrobin","pyriminostrobin",4.38,2011.34,"Acetaminophen","soda"
"ACT12_M_48981","sulfite ester acaricides","sulfite ester acaricides",5.49,134.01,"AceticAcid","acid"
"ACT12_M_49024","aramite","aramite",7.52,1223.82,"Ehtanol","H2"
"ACT12_M_49274","propargite","propargite",1.62,1270.07,"CarbonDioxide","carbon"
"ACT12_M_49578","tetronic acid acaricides","tetronic acid acaricides",6.02,1810.2,"CalciumCarbonate","calcium"
"ACT12_M_49582","spirodiclofen","spirodiclofen",2.95,779.4,"SodiumChloride","calcium"
"ACT12_M_49689","spiromesifen","spiromesifen",8.14,584.02,"Methane","carbon"
"ACT12_M_49690","tetrazine acaricides","tetrazine acaricides",9.29,864.34,"Aspirin","carbon"
"ACT12_M_49693","clofentezine","clofentezine",5.91,2014.46,"PotassiumTartrate","carbon"
"ACT12_M_49982","diflovidazin","diflovidazin",5.74,350.67,"Bakingsoda","soda"
"ACT12_M_50013","thiazolidine acaricides","thiazolidine acaricides",5.64,1067.17,"Acetaminophen","soda"
"ACT12_M_50015","flubenzimine","flubenzimine",6.3,1051.48,"AceticAcid","acid"
"ACT12_M_50110","hexythiazox","hexythiazox",6.4,1321.62,"Ehtanol","H2"
"ACT12_M_50114","thiocarbamate acaricides","thiocarbamate acaricides",8.97,2114.33,"CarbonDioxide","carbon"
"ACT12_M_50211","fenothiocarb","fenothiocarb",1.15,1639.91,"CalciumCarbonate","calcium"
"ACT12_M_50217","thiourea acaricides","thiourea acaricides",9.51,1897.81,"SodiumChloride","calcium"
"ACT12_M_50278","chloromethiuron","chloromethiuron",9.04,14.82,"Methane","carbon"
"ACT12_M_50337","diafenthiuron","diafenthiuron",6.72,1102.66,"Aspirin","carbon"
"ACT12_M_50362","unclassified acaricides","unclassified acaricides",1.77,1096.56,"PotassiumTartrate","carbon"
"ACT12_M_50363","acequinocyl","acequinocyl",8.24,1930.02,"Bakingsoda","soda"
"ACT12_M_50414","acynonapyr","acynonapyr",9.9,287.18,"Acetaminophen","soda"
"ACT12_M_50461","amidoflumet","amidoflumet",2.92,1155.31,"AceticAcid","acid"
"ACT12_M_50556","arsenous oxide","arsenous oxide",4.29,1678.19,"Ehtanol","H2"
"ACT12_M_50579","clenpirin","clenpirin",2.87,861.01,"CarbonDioxide","carbon"
"ACT12_M_50677","closantel","closantel",4.71,1936.93,"CalciumCarbonate","calcium"
"ACT12_M_50734","crotamiton","crotamiton",6.26,412.12,"SodiumChloride","calcium"
"ACT12_M_50797","cycloprate","cycloprate",9.96,1256.35,"Methane","carbon"
"ACT12_M_50901","cymiazole","cymiazole",9.4,1300.7,"Aspirin","carbon"
"ACT12_M_50902","disulfiram","disulfiram",6.91,952.42,"PotassiumTartrate","carbon"
"ACT12_M_50911","etoxazole","etoxazole",8.71,1871.69,"Bakingsoda","soda"
"ACT12_M_50937","fenazaflor","fenazaflor",5.05,1083.42,"Acetaminophen","soda"
"ACT12_M_50938","fenazaquin","fenazaquin",6.52,365.68,"AceticAcid","acid"
"ACT12_M_50941","fluenetil","fluenetil",2.52,696.41,"Ehtanol","H2"
"ACT12_M_51010","flupentiofenox","flupentiofenox",6.65,1925.9,"CarbonDioxide","carbon"
"ACT12_M_51019","mesulfen","mesulfen",6.88,1070.4,"CalciumCarbonate","calcium"
"ACT12_M_51068","MNAF","MNAF",3.67,1162.29,"SodiumChloride","calcium"
"ACT12_M_51114","nifluridide","nifluridide",4.32,838.1,"Methane","carbon"
"ACT12_M_51229","nikkomycins","nikkomycins",1.35,1061.2,"Aspirin","carbon"
"ACT12_M_51230","pyridaben","pyridaben",6.35,702.37,"PotassiumTartrate","carbon"
"ACT12_M_51233","sulfiram","sulfiram",6.51,179.3,"Bakingsoda","soda"
"ACT12_M_51311","sulfluramid","sulfluramid",5.21,946.56,"Acetaminophen","soda"
"ACT12_M_51347","sulfur","sulfur",6.38,1397.2,"AceticAcid","acid"
"ACT12_M_51406","thuringiensin","thuringiensin",2.25,1197.02,"Ehtanol","H2"
"ACT12_M_51442","triarathene","triarathene",5.8,1404.56,"CarbonDioxide","carbon"
"ACT12_M_51491","azobenzene","azobenzene",3.41,795.79,"CalciumCarbonate","calcium"
"ACT12_M_51519","benzoximate","benzoximate",8.51,1737.63,"SodiumChloride","calcium"
"ACT12_M_51547","benzyl benzoate","benzyl benzoate",9.87,603.01,"Methane","carbon"
"ACT12_M_51576","bromopropylate","bromopropylate",5.05,1075.35,"Aspirin","carbon"
"ACT12_M_51733","chlorbenside","chlorbenside",5.95,728.59,"PotassiumTartrate","carbon"
"ACT12_M_51739","chlorfenethol","chlorfenethol",9.18,1755.66,"Bakingsoda","soda"
"ACT12_M_51765","chlorfenson","chlorfenson",5.98,1207.27,"Acetaminophen","soda"
"ACT12_M_51793","chlorfensulphide","chlorfensulphide",2.66,1369.45,"AceticAcid","acid"
"ACT12_M_51977","chlorobenzilate","chlorobenzilate",8.48,1325.88,"Ehtanol","H2"
"ACT12_M_51982","chloropropylate","chloropropylate",9.36,1362.19,"CarbonDioxide","carbon"
"ACT12_M_52043","cyflumetofen","cyflumetofen",1.16,1657.11,"CalciumCarbonate","calcium"
"ACT12_M_52204","DDT","DDT",5.27,418.1,"SodiumChloride","calcium"
"ACT12_M_52205","dicofol","dicofol",5.27,2091.16,"Methane","carbon"
"ACT12_M_52206","diphenyl sulfone","diphenyl sulfone",5.54,1979.84,"Aspirin","carbon"
"ACT12_M_52278","dofenapyn","dofenapyn",7.18,1223.94,"PotassiumTartrate","carbon"
"ACT12_M_52305","fenson","fenson",8.53,1516.92,"Bakingsoda","soda"
"ACT12_M_52306","fentrifanil","fentrifanil",7.7,1898.4,"Acetaminophen","soda"
"ACT12_M_52434","fluorbenside","fluorbenside",7.92,1074.59,"AceticAcid","acid"
"ACT12_M_52437","genit","genit",6.26,670.56,"Ehtanol","H2"
"ACT12_M_52451","hexachlorophene","hexachlorophene",2.1,1915.59,"CarbonDioxide","carbon"
"ACT12_M_52501","phenproxide","phenproxide",8.39,726.28,"CalciumCarbonate","calcium"
"ACT12_M_52518","proclonol","proclonol",4.03,362.79,"SodiumChloride","calcium"
"ACT12_M_52519","tetradifon","tetradifon",3.63,785.44,"Methane","carbon"
"ACT12_M_52609","tetrasul","tetrasul",8.89,1706.77,"Aspirin","carbon"
"ACT12_M_52861","oxime carbamate acaricides","oxime carbamate acaricides",3.79,1067.82,"PotassiumTartrate","carbon"
"ACT12_M_53006","aldicarb","aldicarb",9.61,749.39,"Bakingsoda","soda"
"ACT12_M_53101","butocarboxim","butocarboxim",8.21,1245.02,"Acetaminophen","soda"
"ACT12_M_53104","oxamyl","oxamyl",1.97,637.91,"AceticAcid","acid"
"ACT12_M_53106","thiocarboxime","thiocarboxime",3.05,1610.55,"Ehtanol","H2"
"ACT12_M_53167","thiofanox","thiofanox",7.65,1283.46,"CarbonDioxide","carbon"
"ACT12_M_53168","carbazate acaricides","carbazate acaricides",9.41,1994.95,"CalciumCarbonate","calcium"
"ACT12_M_53235","bifenazate","bifenazate",2.16,1798.23,"SodiumChloride","calcium"
"ACT12_M_53242","dinitrophenol acaricides","dinitrophenol acaricides",5.54,116.84,"Methane","carbon"
"ACT12_M_53244","binapacryl","binapacryl",5.17,1175.51,"Aspirin","carbon"
"ACT12_M_53248","dinex","dinex",4.33,1053.9,"PotassiumTartrate","carbon"
