"molecule","compound"
"ACT12_M_36302","demeton-S-methyl"
"ACT12_M_36486","demeton-S-methylsulphon"
"ACT12_M_36686","dialifos"
"ACT12_M_36687","diazinon"
"ACT12_M_36742","dimethoate"
"ACT12_M_36820","dioxathion"
"ACT12_M_36934","disulfoton"
"ACT12_M_37320","endothion"
"ACT12_M_37415","ethion"
"ACT12_M_37975","ethoate-methyl"
"ACT12_M_38127","formothion"
"ACT12_M_38231","malathion"
"ACT12_M_38241","mecarbam"
"ACT12_M_38242","methacrifos"
"ACT12_M_38382","omethoate"
"ACT12_M_38428","oxydeprofos"
"ACT12_M_38430","oxydisulfoton"
"ACT12_M_38431","parathion"
"ACT12_M_38432","phenkapton"
"ACT12_M_38435","phorate"
"ACT12_M_38446","phosalone"
"ACT12_M_38582","phosmet"
"ACT12_M_38634","phostin"
"ACT12_M_38687","phoxim"
"ACT12_M_39537","pirimiphos-methyl"
"ACT12_M_39552","prothidathion"
"ACT12_M_39568","prothoate"
"ACT12_M_39569","pyrimitate"
"ACT12_M_39570","quinalphos"
"ACT12_M_39571","quintiofos"
"ACT12_M_39572","sophamide"
"ACT12_M_39574","sulfotep"
"ACT12_M_39575","thiometon"
"ACT12_M_39578","triazophos"
"ACT12_M_39579","trifenofos"
"ACT12_M_39582","vamidothion"
"ACT12_M_39585","phosphonate acaricides"
"ACT12_M_39695","trichlorfon"
"ACT12_M_39696","phosphoramidothioate acaricides"
"ACT12_M_39703","isocarbophos"
"ACT12_M_39705","methamidophos"
"ACT12_M_39711","propetamphos"
"ACT12_M_39854","phosphorodiamide acaricides"
"ACT12_M_39916","dimefox"
"ACT12_M_40448","mipafox"
"ACT12_M_40611","schradan"
"ACT12_M_40628","organotin acaricides"
"ACT12_M_41288","azocyclotin"
"ACT12_M_41559","cyhexatin"
"ACT12_M_41785","fenbutatin oxide"
"ACT12_M_41789","phostin"
"ACT12_M_41790","phenylsulfamide acaricides"
"ACT12_M_41837","dichlofluanid"
"ACT12_M_42044","phthalimide acaricides"
"ACT12_M_42102","dialifos"
"ACT12_M_42222","phosmet"
"ACT12_M_42255","pyrazole acaricides"
"ACT12_M_42501","cyenopyrafen"
"ACT12_M_42699","cyetpyrafen"
"ACT12_M_42705","fenpyroximate"
"ACT12_M_42783","phenylpyrazole acaricides"
"ACT12_M_42926","acetoprole"
"ACT12_M_42979","fipronil"
"ACT12_M_43011","vaniliprole"
"ACT12_M_43044","pyrazolecarboxamide acaricides"
"ACT12_M_43046","pyflubumide"
"ACT12_M_43297","tebufenpyrad"
"ACT12_M_43298","pyrethroid acaricides"
"ACT12_M_43551","pyrethroid ester acaricides"
"ACT12_M_43603","acrinathrin"
"ACT12_M_43608","bifenthrin"
"ACT12_M_43697","brofluthrinate"
"ACT12_M_43756","cyhalothrin"
"ACT12_M_43780","cypermethrin"
"ACT12_M_43992","alpha-cypermethrin"
"ACT12_M_43993","fenpropathrin"
"ACT12_M_44099","fenvalerate"
"ACT12_M_44130","flucythrinate"
"ACT12_M_44205","flumethrin"
"ACT12_M_44900","fluvalinate"
"ACT12_M_44904","tau-fluvalinate"
"ACT12_M_44906","permethrin"
"ACT12_M_45001","pyrethroid ether acaricides"
"ACT12_M_45146","halfenprox"
"ACT12_M_45379","pyrimidinamine acaricides"
"ACT12_M_46239","pyrimidifen"
"ACT12_M_46678","pyrrole acaricides"
"ACT12_M_47163","chlorfenapyr"
"ACT12_M_47454","quaternary ammonium acaricides"
"ACT12_M_47457","sanguinarine"
"ACT12_M_47626","quinoxaline acaricides"
"ACT12_M_47780","chinomethionat"
"ACT12_M_47788","thioquinox"
"ACT12_M_47912","strobilurin acaricides"
"ACT12_M_48439","methoxyacrylate strobilurin acaricides"
"ACT12_M_48509","bifujunzhi"
"ACT12_M_48510","fluacrypyrim"
"ACT12_M_48703","flufenoxystrobin"
"ACT12_M_48791","pyriminostrobin"
"ACT12_M_48981","sulfite ester acaricides"
"ACT12_M_49024","aramite"
"ACT12_M_49274","propargite"
"ACT12_M_49578","tetronic acid acaricides"
"ACT12_M_49582","spirodiclofen"
"ACT12_M_49689","spiromesifen"
"ACT12_M_49690","tetrazine acaricides"
"ACT12_M_49693","clofentezine"
"ACT12_M_49982","diflovidazin"
"ACT12_M_50013","thiazolidine acaricides"
"ACT12_M_50015","flubenzimine"
"ACT12_M_50110","hexythiazox"
"ACT12_M_50114","thiocarbamate acaricides"
"ACT12_M_50211","fenothiocarb"
"ACT12_M_50217","thiourea acaricides"
"ACT12_M_50278","chloromethiuron"
"ACT12_M_50337","diafenthiuron"
"ACT12_M_50362","unclassified acaricides"
"ACT12_M_50363","acequinocyl"
"ACT12_M_50414","acynonapyr"
"ACT12_M_50461","amidoflumet"
"ACT12_M_50556","arsenous oxide"
"ACT12_M_50579","clenpirin"
"ACT12_M_50677","closantel"
"ACT12_M_50734","crotamiton"
"ACT12_M_50797","cycloprate"
"ACT12_M_50901","cymiazole"
"ACT12_M_50902","disulfiram"
"ACT12_M_50911","etoxazole"
"ACT12_M_50937","fenazaflor"
"ACT12_M_50938","fenazaquin"
"ACT12_M_50941","fluenetil"
"ACT12_M_51010","flupentiofenox"
"ACT12_M_51019","mesulfen"
"ACT12_M_51068","MNAF"
"ACT12_M_51114","nifluridide"
"ACT12_M_51229","nikkomycins"
"ACT12_M_51230","pyridaben"
"ACT12_M_51233","sulfiram"
"ACT12_M_51311","sulfluramid"
"ACT12_M_51347","sulfur"
"ACT12_M_51406","thuringiensin"
"ACT12_M_51442","triarathene"
"ACT12_M_51491","azobenzene"
"ACT12_M_51519","benzoximate"
"ACT12_M_51547","benzyl benzoate"
"ACT12_M_51576","bromopropylate"
"ACT12_M_51733","chlorbenside"
"ACT12_M_51739","chlorfenethol"
"ACT12_M_51765","chlorfenson"
"ACT12_M_51793","chlorfensulphide"
"ACT12_M_51977","chlorobenzilate"
"ACT12_M_51982","chloropropylate"
"ACT12_M_52043","cyflumetofen"
"ACT12_M_52204","DDT"
"ACT12_M_52205","dicofol"
"ACT12_M_52206","diphenyl sulfone"
"ACT12_M_52278","dofenapyn"
"ACT12_M_52305","fenson"
"ACT12_M_52306","fentrifanil"
"ACT12_M_52434","fluorbenside"
"ACT12_M_52437","genit"
"ACT12_M_52451","hexachlorophene"
"ACT12_M_52501","phenproxide"
"ACT12_M_52518","proclonol"
"ACT12_M_52519","tetradifon"
"ACT12_M_52609","tetrasul"
"ACT12_M_52861","oxime carbamate acaricides"
"ACT12_M_53006","aldicarb"
"ACT12_M_53101","butocarboxim"
"ACT12_M_53104","oxamyl"
"ACT12_M_53106","thiocarboxime"
"ACT12_M_53167","thiofanox"
"ACT12_M_53168","carbazate acaricides"
"ACT12_M_53235","bifenazate"
"ACT12_M_53242","dinitrophenol acaricides"
"ACT12_M_53244","binapacryl"
"ACT12_M_53248","dinex"
"ACT12_M_53249","dinobuton"
"ACT12_M_53252","dinocap"
"ACT12_M_53253","dinocap-4"
"ACT12_M_53327","dinocap-6"
"ACT12_M_53475","dinocton"
"ACT12_M_53522","dinopenton"
"ACT12_M_53532","dinosulfon"
"ACT12_M_53648","dinoterbon"
"ACT12_M_53688","DNOC"
"ACT12_M_53755","formamidine acaricides"
"ACT12_M_53778","amitraz"
"ACT12_M_53864","chlordimeform"
"ACT12_M_53936","chloromebuform"
"ACT12_M_53949","formetanate"
"ACT12_M_53950","formparanate"
"ACT12_M_54023","medimeform"
"ACT12_M_54033","semiamitraz"
"ACT12_M_54048","isoxazoline acaricides"
"ACT12_M_54168","afoxolaner"
"ACT12_M_54186","esafoxolaner"
"ACT12_M_54187","fluralaner"
"ACT12_M_54196","lotilaner"
"ACT12_M_54197","sarolaner"
"ACT12_M_54233","tigolaner"
"ACT12_M_54239","macrocyclic lactone acaricides"
"ACT12_M_54240","tetranactin"
"ACT12_M_54265","avermectin acaricides"
"ACT12_M_54297","abamectin"
"ACT12_M_54308","doramectin"
"ACT12_M_54313","eprinomectin"
"ACT12_M_54315","ivermectin"
"ACT12_M_54316","selamectin"
"ACT12_M_54524","milbemycin acaricides"
"ACT12_M_54569","milbemectin"
"ACT12_M_54614","milbemycin oxime"
"ACT12_M_54615","moxidectin"
"ACT12_M_54835","mite growth regulators"
"ACT12_M_54838","clofentezine"
"ACT12_M_54839","cyromazine"
"ACT12_M_54861","diflovidazin"
"ACT12_M_54862","dofenapyn"
"ACT12_M_55047","fluazuron"
"ACT12_M_55048","flubenzimine"
"ACT12_M_55224","flucycloxuron"
"ACT12_M_55443","flufenoxuron"
"ACT12_M_55444","hexythiazox"
"ACT12_M_55558","organochlorine acaricides"
"ACT12_M_55581","bromocyclen"
"ACT12_M_55933","camphechlor"
"ACT12_M_55971","DDT"
"ACT12_M_55990","dienochlor"
"ACT12_M_55996","endosulfan"
"ACT12_M_56060","lindane"
"ACT12_M_56140","organophosphorus acaricides"
"ACT12_M_56145","organophosphate acaricides"
"ACT12_M_56161","chlorfenvinphos"
"ACT12_M_56384","crotoxyphos"
"ACT12_M_56419","dichlorvos"
"ACT12_M_56620","heptenophos"
"ACT12_M_56621","mevinphos"
"ACT12_M_56636","monocrotophos"
"ACT12_M_56790","naled"
"ACT12_M_56826","TEPP"
"ACT12_M_56898","tetrachlorvinphos"
"ACT12_M_56993","organothiophosphate acaricides"
"ACT12_M_57051","amidithion"
"ACT12_M_57134","amiton"
"ACT12_M_57193","azinphos-ethyl"
"ACT12_M_57373","azinphos-methyl"
"ACT12_M_57396","azothoate"
"ACT12_M_57397","benoxafos"
"ACT12_M_57585","bromophos"
"ACT12_M_57666","bromophos-ethyl"
"ACT12_M_57668","carbophenothion"
"ACT12_M_57704","chlorpyrifos"
"ACT12_M_57808","chlorthiophos"
"ACT12_M_57849","coumaphos"
"ACT12_M_57874","cyanthoate"
"ACT12_M_57875","demeton"
"ACT12_M_58127","demeton-O"
"ACT12_M_58234","demeton-S"
"ACT12_M_58238","demeton-methyl"
"ACT12_M_58255","demeton-O-methyl"
"ACT12_M_58294","demeton-S-methyl"
"ACT12_M_58305","demeton-S-methylsulphon"
"ACT12_M_58316","dialifos"
"ACT12_M_58363","diazinon"
"ACT12_M_58385","dimethoate"
"ACT12_M_58393","dioxathion"
"ACT12_M_58407","disulfoton"
"ACT12_M_58436","endothion"
"ACT12_M_58442","ethion"
"ACT12_M_58479","ethoate-methyl"
"ACT12_M_58551","formothion"
"ACT12_M_58563","malathion"
"ACT12_M_58642","mecarbam"
"ACT12_M_58701","methacrifos"
"ACT12_M_58729","omethoate"
"ACT12_M_58744","oxydeprofos"
"ACT12_M_58853","oxydisulfoton"
"ACT12_M_58856","parathion"
"ACT12_M_58912","phenkapton"
"ACT12_M_58949","phorate"
"ACT12_M_58953","phosalone"
"ACT12_M_58956","phosmet"
"ACT12_M_58972","phostin"
"ACT12_M_58973","phoxim"
"ACT12_M_59008","pirimiphos-methyl"
"ACT12_M_59050","prothidathion"
"ACT12_M_59051","prothoate"
"ACT12_M_59052","pyrimitate"
"ACT12_M_59079","quinalphos"
"ACT12_M_59084","quintiofos"
"ACT12_M_59104","sophamide"
"ACT12_M_59115","sulfotep"
"ACT12_M_59116","thiometon"
"ACT12_M_59126","triazophos"
"ACT12_M_59127","trifenofos"
"ACT12_M_59181","vamidothion"
"ACT12_M_59192","phosphonate acaricides"
"ACT12_M_59193","trichlorfon"
"ACT12_M_59194","phosphoramidothioate acaricides"
"ACT12_M_59206","isocarbophos"
"ACT12_M_59236","methamidophos"
"ACT12_M_59269","propetamphos"
"ACT12_M_59271","phosphorodiamide acaricides"
"ACT12_M_59318","dimefox"
"ACT12_M_59319","mipafox"
"ACT12_M_59320","schradan"
"ACT12_M_59321","organotin acaricides"
"ACT12_M_59322","azocyclotin"
"ACT12_M_59323","cyhexatin"
"ACT12_M_59324","fenbutatin oxide"
"ACT12_M_59325","phostin"
"ACT12_M_59326","phenylsulfamide acaricides"
"ACT12_M_59327","dichlofluanid"
"ACT12_M_59328","phthalimide acaricides"
"ACT12_M_59329","dialifos"
"ACT12_M_59330","phosmet"
"ACT12_M_59331","pyrazole acaricides"
"ACT12_M_59332","cyenopyrafen"
"ACT12_M_59333","cyetpyrafen"
"ACT12_M_59338","fenpyroximate"
"ACT12_M_59339","phenylpyrazole acaricides"
"ACT12_M_59341","acetoprole"
"ACT12_M_59342","fipronil"
"ACT12_M_59343","vaniliprole"
"ACT12_M_59344","pyrazolecarboxamide acaricides"
"ACT12_M_59354","pyflubumide"
"ACT12_M_59370","tebufenpyrad"
"ACT12_M_59393","pyrethroid acaricides"
"ACT12_M_59396","pyrethroid ester acaricides"
"ACT12_M_59397","acrinathrin"
"ACT12_M_59442","bifenthrin"
"ACT12_M_59443","brofluthrinate"
"ACT12_M_59444","cyhalothrin"
"ACT12_M_59478","cypermethrin"
"ACT12_M_59479","alpha-cypermethrin"
"ACT12_M_59485","fenpropathrin"
"ACT12_M_59487","fenvalerate"
"ACT12_M_59504","flucythrinate"
"ACT12_M_59533","flumethrin"
"ACT12_M_59543","fluvalinate"
"ACT12_M_59547","tau-fluvalinate"
"ACT12_M_59548","permethrin"
"ACT12_M_59550","pyrethroid ether acaricides"
"ACT12_M_59561","halfenprox"
"ACT12_M_59562","pyrimidinamine acaricides"
"ACT12_M_59565","pyrimidifen"
"ACT12_M_59569","pyrrole acaricides"
"ACT12_M_59570","chlorfenapyr"
"ACT12_M_59571","quaternary ammonium acaricides"
"ACT12_M_59573","sanguinarine"
"ACT12_M_59574","quinoxaline acaricides"
"ACT12_M_59575","chinomethionat"
"ACT12_M_59576","thioquinox"
"ACT12_M_59577","strobilurin acaricides"
"ACT12_M_59578","methoxyacrylate strobilurin acaricides"
"ACT12_M_59579","bifujunzhi"
"ACT12_M_59580","fluacrypyrim"
"ACT12_M_59583","flufenoxystrobin"
"ACT12_M_59584","pyriminostrobin"
"ACT12_M_59592","sulfite ester acaricides"
"ACT12_M_59593","aramite"
"ACT12_M_59594","propargite"
"ACT12_M_59607","tetronic acid acaricides"
"ACT12_M_59609","spirodiclofen"
"ACT12_M_59612","spiromesifen"
"ACT12_M_59613","tetrazine acaricides"
"ACT12_M_59618","clofentezine"
"ACT12_M_59619","diflovidazin"
"ACT12_M_59620","thiazolidine acaricides"
"ACT12_M_59630","flubenzimine"
"ACT12_M_59657","hexythiazox"
"ACT12_M_59658","thiocarbamate acaricides"
"ACT12_M_59659","fenothiocarb"
"ACT12_M_59679","thiourea acaricides"
"ACT12_M_59682","chloromethiuron"
"ACT12_M_59699","diafenthiuron"
"ACT12_M_59701","unclassified acaricides"
"ACT12_M_59702","acequinocyl"
"ACT12_M_59736","acynonapyr"
"ACT12_M_59738","amidoflumet"
"ACT12_M_59739","arsenous oxide"
"ACT12_M_59746","clenpirin"
"ACT12_M_59747","closantel"
"ACT12_M_59748","crotamiton"
"ACT12_M_59757","cycloprate"
"ACT12_M_59758","cymiazole"
"ACT12_M_59779","disulfiram"
"ACT12_M_59780","etoxazole"
"ACT12_M_59781","fenazaflor"
"ACT12_M_59782","fenazaquin"
"ACT12_M_59783","fluenetil"
"ACT12_M_59784","flupentiofenox"
"ACT12_M_59785","mesulfen"
"ACT12_M_59802","MNAF"
"ACT12_M_59803","nifluridide"
"ACT12_M_59804","nikkomycins"
"ACT12_M_59807","pyridaben"
"ACT12_M_59810","sulfiram"
"ACT12_M_59811","sulfluramid"
"ACT12_M_59814","sulfur"
"ACT12_M_59816","thuringiensin"
"ACT12_M_59817","triarathene"
"ACT12_M_59818","azobenzene"
"ACT12_M_59819","benzoximate"
"ACT12_M_59820","benzyl benzoate"
"ACT12_M_59821","bromopropylate"
"ACT12_M_59827","chlorbenside"
"ACT12_M_59828","chlorfenethol"
"ACT12_M_59829","chlorfenson"
"ACT12_M_59830","chlorfensulphide"
"ACT12_M_59831","chlorobenzilate"
"ACT12_M_59865","chloropropylate"
"ACT12_M_59883","cyflumetofen"
"ACT12_M_59884","DDT"
"ACT12_M_59896","dicofol"
"ACT12_M_59902","diphenyl sulfone"
"ACT12_M_59903","dofenapyn"
"ACT12_M_59909","fenson"
"ACT12_M_59913","fentrifanil"
"ACT12_M_59918","fluorbenside"
"ACT12_M_59930","genit"
"ACT12_M_59931","hexachlorophene"
"ACT12_M_59933","phenproxide"
"ACT12_M_59934","proclonol"
"ACT12_M_59935","tetradifon"
"ACT12_M_59936","tetrasul"
"ACT12_M_59937","oxime carbamate acaricides"
"ACT12_M_59938","aldicarb"
"ACT12_M_59942","butocarboxim"
"ACT12_M_59950","oxamyl"
"ACT12_M_59955","thiocarboxime"
"ACT12_M_59962","thiofanox"
"ACT12_M_59963","carbazate acaricides"
"ACT12_M_59989","bifenazate"
"ACT12_M_60019","dinitrophenol acaricides"
"ACT12_M_60023","binapacryl"
"ACT12_M_60024","dinex"
"ACT12_M_60026","dinobuton"
"ACT12_M_60037","dinocap"
"ACT12_M_60038","dinocap-4"
"ACT12_M_60047","dinocap-6"
"ACT12_M_60048","dinocton"
"ACT12_M_60051","dinopenton"
"ACT12_M_60052","dinosulfon"
"ACT12_M_60055","dinoterbon"
"ACT12_M_60057","DNOC"
"ACT12_M_60062","formamidine acaricides"
"ACT12_M_60067","amitraz"
"ACT12_M_60068","chlordimeform"
"ACT12_M_60069","chloromebuform"
"ACT12_M_60077","formetanate"
"ACT12_M_60078","formparanate"
"ACT12_M_60079","medimeform"
"ACT12_M_60089","semiamitraz"
"ACT12_M_60090","isoxazoline acaricides"
"ACT12_M_60091","afoxolaner"
"ACT12_M_60092","esafoxolaner"
"ACT12_M_60093","fluralaner"
"ACT12_M_60094","lotilaner"
"ACT12_M_60095","sarolaner"
"ACT12_M_60102","tigolaner"
"ACT12_M_60108","macrocyclic lactone acaricides"
"ACT12_M_60109","tetranactin"
"ACT12_M_60110","avermectin acaricides"
"ACT12_M_60111","abamectin"
"ACT12_M_60112","doramectin"
"ACT12_M_60113","eprinomectin"
"ACT12_M_60114","ivermectin"
"ACT12_M_60145","selamectin"
"ACT12_M_60147","milbemycin acaricides"
"ACT12_M_60151","milbemectin"
"ACT12_M_60152","milbemycin oxime"
"ACT12_M_60153","moxidectin"
"ACT12_M_60169","mite growth regulators"
"ACT12_M_60179","clofentezine"
"ACT12_M_60182","cyromazine"
"ACT12_M_60186","diflovidazin"
"ACT12_M_60194","dofenapyn"
"ACT12_M_60196","fluazuron"
"ACT12_M_60197","flubenzimine"
"ACT12_M_60199","flucycloxuron"
"ACT12_M_60200","flufenoxuron"
"ACT12_M_60201","hexythiazox"
"ACT12_M_60202","organochlorine acaricides"
"ACT12_M_60203","bromocyclen"
"ACT12_M_60208","camphechlor"
"ACT12_M_60213","DDT"
"ACT12_M_60215","dienochlor"
"ACT12_M_60218","endosulfan"
"ACT12_M_60229","lindane"
"ACT12_M_60240","organophosphorus acaricides"
"ACT12_M_60282","organophosphate acaricides"
"ACT12_M_60283","chlorfenvinphos"
"ACT12_M_60285","crotoxyphos"
"ACT12_M_60288","dichlorvos"
"ACT12_M_60290","heptenophos"
"ACT12_M_60292","mevinphos"
"ACT12_M_60293","monocrotophos"
"ACT12_M_60314","naled"
"ACT12_M_60315","TEPP"
"ACT12_M_60317","tetrachlorvinphos"
"ACT12_M_60318","organothiophosphate acaricides"
"ACT12_M_60326","amidithion"
"ACT12_M_60327","amiton"
"ACT12_M_60340","azinphos-ethyl"
"ACT12_M_60343","azinphos-methyl"
"ACT12_M_60346","azothoate"
"ACT12_M_60349","benoxafos"
"ACT12_M_60356","bromophos"
"ACT12_M_60357","bromophos-ethyl"
"ACT12_M_60400","carbophenothion"
"ACT12_M_60401","chlorpyrifos"
"ACT12_M_60417","chlorthiophos"
"ACT12_M_60420","coumaphos"
"ACT12_M_60432","cyanthoate"
"ACT12_M_60434","demeton"
"ACT12_M_60436","demeton-O"
"ACT12_M_60449","demeton-S"
"ACT12_M_60454","demeton-methyl"
"ACT12_M_60456","demeton-O-methyl"
"ACT12_M_60457","demeton-S-methyl"
"ACT12_M_60490","demeton-S-methylsulphon"
"ACT12_M_60495","dialifos"
"ACT12_M_60508","diazinon"
"ACT12_M_60509","dimethoate"
"ACT12_M_60510","dioxathion"
"ACT12_M_60511","disulfoton"
"ACT12_M_60512","endothion"
"ACT12_M_60513","ethion"
"ACT12_M_60514","ethoate-methyl"
"ACT12_M_60515","formothion"
"ACT12_M_60516","malathion"
"ACT12_M_60517","mecarbam"
"ACT12_M_60518","methacrifos"
"ACT12_M_60519","omethoate"
"ACT12_M_60520","oxydeprofos"
"ACT12_M_60521","oxydisulfoton"
"ACT12_M_60522","parathion"
"ACT12_M_60527","phenkapton"
"ACT12_M_60550","phorate"
"ACT12_M_60557","phosalone"
"ACT12_M_60559","phosmet"
"ACT12_M_60562","phostin"
"ACT12_M_60563","phoxim"
"ACT12_M_60564","pirimiphos-methyl"
"ACT12_M_60565","prothidathion"
"ACT12_M_60575","prothoate"
"ACT12_M_60577","pyrimitate"
"ACT12_M_60579","quinalphos"
"ACT12_M_60580","quintiofos"
"ACT12_M_60592","sophamide"
"ACT12_M_60593","sulfotep"
"ACT12_M_60607","thiometon"
"ACT12_M_60618","triazophos"
"ACT12_M_60639","trifenofos"
"ACT12_M_60640","vamidothion"
"ACT12_M_60641","phosphonate acaricides"
"ACT12_M_60642","trichlorfon"
"ACT12_M_60658","phosphoramidothioate acaricides"
"ACT12_M_60664","isocarbophos"
"ACT12_M_60667","methamidophos"
"ACT12_M_60681","propetamphos"
"ACT12_M_60714","phosphorodiamide acaricides"
"ACT12_M_60715","dimefox"
"ACT12_M_60759","mipafox"
"ACT12_M_60761","schradan"
"ACT12_M_60762","organotin acaricides"
"ACT12_M_60768","azocyclotin"
"ACT12_M_60769","cyhexatin"
"ACT12_M_60786","fenbutatin oxide"
"ACT12_M_60791","phostin"
"ACT12_M_60794","phenylsulfamide acaricides"
"ACT12_M_60796","dichlofluanid"
"ACT12_M_60797","phthalimide acaricides"
"ACT12_M_60798","dialifos"
"ACT12_M_60801","phosmet"
"ACT12_M_60808","pyrazole acaricides"
"ACT12_M_60810","cyenopyrafen"
"ACT12_M_60814","cyetpyrafen"
"ACT12_M_60816","fenpyroximate"
"ACT12_M_60819","phenylpyrazole acaricides"
"ACT12_M_60820","acetoprole"
"ACT12_M_60843","fipronil"
"ACT12_M_60846","vaniliprole"
"ACT12_M_60847","pyrazolecarboxamide acaricides"
"ACT12_M_60873","pyflubumide"
"ACT12_M_60876","tebufenpyrad"
"ACT12_M_60907","pyrethroid acaricides"
"ACT12_M_60912","pyrethroid ester acaricides"
"ACT12_M_60913","acrinathrin"
"ACT12_M_60926","bifenthrin"
"ACT12_M_60942","brofluthrinate"
"ACT12_M_60947","cyhalothrin"
"ACT12_M_60959","cypermethrin"
"ACT12_M_60960","alpha-cypermethrin"
"ACT12_M_60964","fenpropathrin"
"ACT12_M_60998","fenvalerate"
"ACT12_M_61002","flucythrinate"
"ACT12_M_61003","flumethrin"
"ACT12_M_61004","fluvalinate"
"ACT12_M_61009","tau-fluvalinate"
"ACT12_M_61010","permethrin"
"ACT12_M_61011","pyrethroid ether acaricides"
"ACT12_M_61013","halfenprox"
"ACT12_M_61017","pyrimidinamine acaricides"
"ACT12_M_61059","pyrimidifen"
"ACT12_M_61070","pyrrole acaricides"
"ACT12_M_61073","chlorfenapyr"
"ACT12_M_61088","quaternary ammonium acaricides"
